trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.95}",20,0,-97.99467222293417,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.8999999999999999}",25,0,-138.84680558364633,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.8499999999999999}",25,0,-111.0424173559668,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.7999999999999998}",20,2,-95.4846331022637,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.002, 'e': 0.7499999999999998}",25,0,-102.7231047585654,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.6999999999999997}",25,0,-34.80109416548542,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.6499999999999997}",20,0,-190.54660985865246,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.002, 'e': 0.5999999999999996}",30,0,-97.80792354642453,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.5499999999999996}",20,0,-57.409240452222264,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.4999999999999996}",20,0,-74.66524862468619,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.4499999999999996}",20,0,-24.035585710481243,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.39999999999999963}",30,0,-52.79082952866861,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.34999999999999964}",30,0,-98.91203946508406,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.29999999999999966}",25,0,-62.140664348259904,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.24999999999999967}",25,0,30.921248915003982,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.19999999999999968}",20,0,12.411391639902593,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.1499999999999997}",20,0,15.088513566718532,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.09999999999999969}",25,0,20.19777745746191,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.049999999999999684}",30,0,31.442790507062302,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
