trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.995}",35,0,-195.60706418145978,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.002, 'e': 0.99}",20,0,-119.21514855674617,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.985}",25,0,-77.27683739583843,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.98}",25,8,-28.419681491302658,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.002, 'e': 0.975}",25,0,-169.92793174278913,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.97}",25,0,-127.25616644867489,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.965}",25,0,-116.99577287524956,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.96}",35,0,-214.2124779194119,"{0: 18, 1: 6, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.955}",20,0,-33.85975973532007,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.95}",20,0,-92.98147754402154,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.945}",25,0,-143.13026627892114,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.94}",20,0,-25.13467654850038,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9349999999999999}",25,0,-106.1100379093278,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9299999999999999}",20,0,-31.30363047459351,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9249999999999999}",20,13,-11.79897834786468,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.9199999999999999}",25,0,-100.75911485708706,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9149999999999999}",35,0,-76.26411798121588,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9099999999999999}",25,12,-105.47259432245464,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 1}",1
19,False,"{'a': 0.002, 'e': 0.9049999999999999}",25,0,-151.5175878409299,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.002, 'e': 0.8999999999999999}",25,0,-162.91263754304754,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.8949999999999999}",20,11,-38.630297170204855,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.002, 'e': 0.8899999999999999}",20,3,-52.575449110277866,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.002, 'e': 0.8849999999999999}",20,0,-67.17515220965895,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.8799999999999999}",25,0,-95.55370692111813,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.8749999999999999}",20,0,-42.05884701052603,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.8699999999999999}",20,0,-135.87990339261898,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
27,False,"{'a': 0.002, 'e': 0.8649999999999999}",20,0,-31.137452076917224,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.8599999999999999}",35,0,-123.7835029071373,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.8549999999999999}",30,0,-153.6207655524682,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
30,False,"{'a': 0.002, 'e': 0.8499999999999999}",20,0,-38.31289513785781,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.8449999999999999}",25,0,-79.15350998185542,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.8399999999999999}",20,0,-137.1056822846492,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.002, 'e': 0.8349999999999999}",20,0,-80.54391983968563,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.8299999999999998}",30,0,-124.72597594143409,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
35,False,"{'a': 0.002, 'e': 0.8249999999999998}",25,0,-90.96773199671293,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.8199999999999998}",25,3,-114.5900574326067,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 2}",1
37,False,"{'a': 0.002, 'e': 0.8149999999999998}",25,5,-34.37651394665491,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.002, 'e': 0.8099999999999998}",25,0,-97.22066263688376,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.002, 'e': 0.8049999999999998}",25,0,-98.0112485021157,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.7999999999999998}",25,0,-45.703366022212755,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.002, 'e': 0.7949999999999998}",25,0,-88.95365749957341,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.002, 'e': 0.7899999999999998}",35,0,-177.52580010655046,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
43,False,"{'a': 0.002, 'e': 0.7849999999999998}",20,1,-70.6557093765298,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
44,False,"{'a': 0.002, 'e': 0.7799999999999998}",35,0,-188.75842872360263,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 3}",0
45,False,"{'a': 0.002, 'e': 0.7749999999999998}",20,0,-85.33690407353753,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.7699999999999998}",25,0,-24.408947282566682,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.7649999999999998}",30,0,-55.75265148824443,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.7599999999999998}",20,0,-54.31772356887077,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.7549999999999998}",20,0,-53.80516378438563,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.7499999999999998}",35,0,-56.9468348090564,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.7449999999999998}",20,11,-26.420543491332204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.002, 'e': 0.7399999999999998}",35,0,-25.49062645078444,"{0: 27, 1: 3, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.002, 'e': 0.7349999999999998}",25,13,-17.315259183947216,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.002, 'e': 0.7299999999999998}",20,14,-4.777445018353274,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.002, 'e': 0.7249999999999998}",20,6,-11.524276221326591,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.002, 'e': 0.7199999999999998}",20,0,-19.268224168988954,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.002, 'e': 0.7149999999999997}",25,0,-59.289262785497954,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.7099999999999997}",20,0,-71.47333947781398,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.7049999999999997}",20,0,-32.06432384724057,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.6999999999999997}",25,0,-14.329932515100884,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.002, 'e': 0.6949999999999997}",25,16,3.079983713307316,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.002, 'e': 0.6899999999999997}",25,6,-51.80324352517188,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
63,False,"{'a': 0.002, 'e': 0.6849999999999997}",30,0,-120.56805530849823,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.6799999999999997}",20,0,-133.95678533184804,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
65,False,"{'a': 0.002, 'e': 0.6749999999999997}",30,0,-129.64969754228173,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
66,False,"{'a': 0.002, 'e': 0.6699999999999997}",20,0,-38.69460889299906,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.6649999999999997}",25,7,-37.519111790066056,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.002, 'e': 0.6599999999999997}",25,0,-63.60208170109727,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.6549999999999997}",20,0,3.4723529718527604,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
